x-axis,1,2
second,Volt,Volt
+507.0000E-06,-41.5829135E-03,-40.2010046E-03
+507.5000E-06,-35.3015065E-03,-54.0200999E-03
+508.0000E-06,-47.8643205E-03,-32.6633162E-03
+508.5000E-06,-51.6331646E-03,-36.4321604E-03
+509.0000E-06,-35.3015065E-03,-40.2010046E-03
+509.5000E-06,-17.7135670E-03,-40.2010046E-03
+510.0000E-06,-27.7638182E-03,-20.1005023E-03
+510.5000E-06,-15.2010042E-03,-20.1005023E-03
+511.0000E-06,-21.4824112E-03,-26.3819093E-03
+511.5000E-06,-31.5326623E-03,-20.1005023E-03
+512.0000E-06,-41.5829135E-03,-40.2010046E-03
+512.5000E-06,-31.5326623E-03,-40.2010046E-03
+513.0000E-06,-35.3015065E-03,-40.2010046E-03
+513.5000E-06,-37.8140693E-03,-56.5326627E-03
+514.0000E-06,-55.4020088E-03,-60.3015069E-03
+514.5000E-06,-31.5326623E-03,-40.2010046E-03
+515.0000E-06,-27.7638182E-03,-40.2010046E-03
+515.5000E-06,-17.7135670E-03,-22.6130651E-03
+516.0000E-06,-21.4824112E-03,-40.2010046E-03
+516.5000E-06,-15.2010042E-03,-56.5326627E-03
+517.0000E-06,-35.3015065E-03,-33.9195976E-03
+517.5000E-06,-35.3015065E-03,-42.7135674E-03
+518.0000E-06,-35.3015065E-03,-46.4824116E-03
+518.5000E-06,-35.3015065E-03,-56.5326627E-03
+519.0000E-06,-15.2010042E-03,-60.3015069E-03
+519.5000E-06,-17.7135670E-03,-42.7135674E-03
+520.0000E-06,-21.4824112E-03,-40.2010046E-03
+520.5000E-06,-35.3015065E-03,-40.2010046E-03
+521.0000E-06,-27.7638182E-03,-52.7638185E-03
+521.5000E-06,-15.2010042E-03,-40.2010046E-03
+522.0000E-06,-21.4824112E-03,-52.7638185E-03
+522.5000E-06,-15.2010042E-03,-40.2010046E-03
+523.0000E-06,-15.2010042E-03,-60.3015069E-03
+523.5000E-06,-11.4321600E-03,-76.6331650E-03
+524.0000E-06,-15.2010042E-03,-60.3015069E-03
+524.5000E-06,-31.5326623E-03,-60.3015069E-03
+525.0000E-06,-15.2010042E-03,-46.4824116E-03
+525.5000E-06,-35.3015065E-03,-60.3015069E-03
+526.0000E-06,-27.7638182E-03,-60.3015069E-03
+526.5000E-06,-15.2010042E-03,-76.6331650E-03
+527.0000E-06,-1.3819089E-03,-66.5829139E-03
+527.5000E-06,+2.3869353E-03,-76.6331650E-03
+528.0000E-06,-1.3819089E-03,-60.3015069E-03
+528.5000E-06,-17.7135670E-03,-60.3015069E-03
